,lat,lon,CNTY_NAME,CITY_TOWN_NAME,num
0,41.767900000000004,-71.09595,BRISTOL,FREETOWN,1
1,41.783100000000005,-71.0811,BRISTOL,FREETOWN,1
2,41.786,-71.07805,BRISTOL,FREETOWN,1
3,41.79095,-71.078,BRISTOL,FREETOWN,2
4,41.798950000000005,-71.05845000000001,BRISTOL,FREETOWN,1
5,41.80475,-71.05525,BRISTOL,FREETOWN,1
6,41.806400000000004,-71.07575,BRISTOL,BERKLEY,1
7,41.806400000000004,-71.07575,BRISTOL,FREETOWN,1
8,41.8065,-71.03935,BRISTOL,FREETOWN,1
9,41.8099,-71.0747,BRISTOL,FREETOWN,1
10,41.8149,-70.79655,PLYMOUTH,MIDDLEBOROUGH,1
11,41.819250000000004,-70.80160000000001,PLYMOUTH,MIDDLEBOROUGH,1
12,41.82155,-71.173,BRISTOL,DIGHTON,1
13,41.82325,-71.04795,BRISTOL,BERKLEY,1
14,41.82855,-70.83485,PLYMOUTH,MIDDLEBOROUGH,1
15,41.828900000000004,-71.02995,BRISTOL,BERKLEY,1
16,41.839600000000004,-71.04115,BRISTOL,BERKLEY,1
17,41.8457,-70.84925,PLYMOUTH,MIDDLEBOROUGH,1
18,41.84725,-70.85415,PLYMOUTH,MIDDLEBOROUGH,1
19,41.85335,-70.85365,PLYMOUTH,MIDDLEBOROUGH,1
20,41.8549,-71.06055,BRISTOL,BERKLEY,1
21,41.855000000000004,-71.06035,BRISTOL,BERKLEY,1
22,41.85555,-70.98230000000001,PLYMOUTH,LAKEVILLE,1
23,41.8585,-70.99765000000001,BRISTOL,TAUNTON,1
24,41.860350000000004,-71.18405,BRISTOL,DIGHTON,1
25,41.8632,-70.7502,PLYMOUTH,CARVER,1
26,41.86455,-70.85285,PLYMOUTH,MIDDLEBOROUGH,1
27,41.8691,-70.93265000000001,PLYMOUTH,LAKEVILLE,1
28,41.869800000000005,-70.93205,PLYMOUTH,LAKEVILLE,1
29,41.8707,-71.05365,BRISTOL,TAUNTON,1
30,41.871900000000004,-71.05550000000001,BRISTOL,TAUNTON,2
31,41.872,-71.05565,BRISTOL,TAUNTON,2
32,41.874900000000004,-71.05485,BRISTOL,TAUNTON,2
33,41.875350000000005,-71.05945,BRISTOL,TAUNTON,1
34,41.878350000000005,-71.16805000000001,BRISTOL,TAUNTON,1
35,41.87895,-71.0061,BRISTOL,TAUNTON,2
36,41.87925,-70.8839,PLYMOUTH,MIDDLEBOROUGH,1
37,41.87935,-70.89825,PLYMOUTH,MIDDLEBOROUGH,1
38,41.880500000000005,-70.9161,PLYMOUTH,MIDDLEBOROUGH,1
39,41.8806,-70.9231,PLYMOUTH,MIDDLEBOROUGH,1
40,41.88085,-71.0984,BRISTOL,TAUNTON,1
41,41.8811,-70.9226,PLYMOUTH,MIDDLEBOROUGH,1
42,41.8812,-70.9029,PLYMOUTH,MIDDLEBOROUGH,1
43,41.882600000000004,-71.02885,BRISTOL,TAUNTON,1
44,41.882850000000005,-71.0838,BRISTOL,TAUNTON,1
45,41.88395,-71.14535000000001,BRISTOL,TAUNTON,1
46,41.88405,-70.91235,PLYMOUTH,MIDDLEBOROUGH,1
47,41.8842,-70.92565,PLYMOUTH,MIDDLEBOROUGH,1
48,41.8842,-70.90185000000001,PLYMOUTH,MIDDLEBOROUGH,1
49,41.8844,-70.9948,BRISTOL,TAUNTON,1
50,41.8847,-70.91855000000001,PLYMOUTH,MIDDLEBOROUGH,1
51,41.88495,-71.11995,BRISTOL,TAUNTON,1
52,41.8858,-71.0899,BRISTOL,TAUNTON,1
53,41.88595,-71.1356,BRISTOL,TAUNTON,2
54,41.886,-70.91715,PLYMOUTH,MIDDLEBOROUGH,2
55,41.88825,-70.92365000000001,PLYMOUTH,MIDDLEBOROUGH,1
56,41.888600000000004,-71.08955,BRISTOL,TAUNTON,1
57,41.88915,-71.1199,BRISTOL,TAUNTON,2
58,41.8896,-70.7699,PLYMOUTH,CARVER,1
59,41.8902,-70.92875000000001,PLYMOUTH,MIDDLEBOROUGH,1
60,41.8903,-70.76725,PLYMOUTH,CARVER,1
61,41.8906,-70.80225,PLYMOUTH,CARVER,1
62,41.89145,-71.11085,BRISTOL,TAUNTON,1
63,41.8924,-70.90595,PLYMOUTH,MIDDLEBOROUGH,1
64,41.8924,-70.77485,PLYMOUTH,CARVER,1
65,41.89285,-70.93855,PLYMOUTH,MIDDLEBOROUGH,1
66,41.8936,-70.91405,PLYMOUTH,MIDDLEBOROUGH,2
67,41.894600000000004,-70.9105,PLYMOUTH,MIDDLEBOROUGH,1
68,41.895050000000005,-70.91735,PLYMOUTH,MIDDLEBOROUGH,1
69,41.89535,-70.75355,PLYMOUTH,CARVER,1
70,41.89665,-71.07925,BRISTOL,TAUNTON,1
71,41.89665,-71.0792,BRISTOL,TAUNTON,1
72,41.8968,-70.90415,PLYMOUTH,MIDDLEBOROUGH,1
73,41.89735,-71.0901,BRISTOL,TAUNTON,1
74,41.897400000000005,-71.04775000000001,BRISTOL,RAYNHAM,1
75,41.8975,-71.09735,BRISTOL,TAUNTON,1
76,41.89765,-70.91565,PLYMOUTH,MIDDLEBOROUGH,1
77,41.898050000000005,-71.09165,BRISTOL,TAUNTON,1
78,41.900150000000004,-70.95445000000001,PLYMOUTH,MIDDLEBOROUGH,1
79,41.90035,-70.9548,PLYMOUTH,MIDDLEBOROUGH,1
80,41.901450000000004,-71.1023,BRISTOL,TAUNTON,1
81,41.9015,-71.08485,BRISTOL,TAUNTON,1
82,41.901650000000004,-71.0905,BRISTOL,TAUNTON,1
83,41.901700000000005,-71.0916,BRISTOL,TAUNTON,2
84,41.902350000000006,-71.09315000000001,BRISTOL,TAUNTON,1
85,41.902350000000006,-71.04475000000001,BRISTOL,RAYNHAM,2
86,41.9024,-70.96865,PLYMOUTH,MIDDLEBOROUGH,1
87,41.90265,-71.1054,BRISTOL,TAUNTON,1
88,41.902750000000005,-70.9648,PLYMOUTH,MIDDLEBOROUGH,2
89,41.90285,-71.09905,BRISTOL,TAUNTON,1
90,41.90285,-70.89105,PLYMOUTH,MIDDLEBOROUGH,1
91,41.9029,-70.99295000000001,BRISTOL,TAUNTON,2
92,41.903200000000005,-70.95885,PLYMOUTH,MIDDLEBOROUGH,5
93,41.90345,-71.09745000000001,BRISTOL,TAUNTON,1
94,41.9035,-70.99835,BRISTOL,RAYNHAM,1
95,41.90375,-70.93685,PLYMOUTH,MIDDLEBOROUGH,1
96,41.903800000000004,-71.08200000000001,BRISTOL,TAUNTON,1
97,41.903800000000004,-71.0819,BRISTOL,TAUNTON,1
98,41.90385,-71.09395,BRISTOL,TAUNTON,1
99,41.90385,-71.0083,BRISTOL,RAYNHAM,1
100,41.904050000000005,-71.03595,BRISTOL,RAYNHAM,1
101,41.90415,-71.0761,BRISTOL,TAUNTON,1
102,41.90455,-71.09565,BRISTOL,TAUNTON,1
103,41.90475,-71.0742,BRISTOL,TAUNTON,1
104,41.90525,-71.0729,BRISTOL,TAUNTON,1
105,41.90535,-71.0651,BRISTOL,RAYNHAM,1
106,41.9055,-71.05515,BRISTOL,RAYNHAM,1
107,41.90565,-71.03295,BRISTOL,RAYNHAM,2
108,41.905750000000005,-71.07145,BRISTOL,TAUNTON,1
109,41.905750000000005,-71.03565,BRISTOL,RAYNHAM,1
110,41.905750000000005,-71.03555,BRISTOL,RAYNHAM,1
111,41.906,-71.05065,BRISTOL,RAYNHAM,1
112,41.9061,-71.03960000000001,BRISTOL,RAYNHAM,1
113,41.906200000000005,-71.049,BRISTOL,RAYNHAM,1
114,41.9063,-71.0423,BRISTOL,TAUNTON,1
115,41.90635,-71.0425,BRISTOL,RAYNHAM,2
116,41.9065,-70.79395000000001,PLYMOUTH,CARVER,1
117,41.9067,-71.09295,BRISTOL,TAUNTON,1
118,41.90685,-71.11685,BRISTOL,TAUNTON,1
119,41.90685,-71.1097,BRISTOL,TAUNTON,1
120,41.907050000000005,-70.92245,PLYMOUTH,MIDDLEBOROUGH,1
121,41.9071,-70.92185,PLYMOUTH,MIDDLEBOROUGH,1
122,41.907250000000005,-70.8956,PLYMOUTH,MIDDLEBOROUGH,1
123,41.907700000000006,-70.9124,PLYMOUTH,MIDDLEBOROUGH,1
124,41.90775,-70.91170000000001,PLYMOUTH,MIDDLEBOROUGH,1
125,41.9078,-71.15570000000001,BRISTOL,TAUNTON,1
126,41.90845,-71.04115,BRISTOL,RAYNHAM,1
127,41.90865,-71.04105,BRISTOL,RAYNHAM,1
128,41.908750000000005,-71.04095000000001,BRISTOL,RAYNHAM,1
129,41.90925,-70.8518,PLYMOUTH,MIDDLEBOROUGH,1
130,41.9103,-71.04,BRISTOL,RAYNHAM,1
131,41.9108,-70.88295000000001,PLYMOUTH,MIDDLEBOROUGH,2
132,41.91135,-70.9611,PLYMOUTH,MIDDLEBOROUGH,1
133,41.91145,-71.14355,BRISTOL,TAUNTON,1
134,41.911750000000005,-71.08545000000001,BRISTOL,TAUNTON,1
135,41.91395,-71.0918,BRISTOL,TAUNTON,1
136,41.91595,-70.87425,PLYMOUTH,MIDDLEBOROUGH,1
137,41.91705,-70.84190000000001,PLYMOUTH,MIDDLEBOROUGH,1
138,41.918600000000005,-70.9624,PLYMOUTH,MIDDLEBOROUGH,1
139,41.91875,-71.0567,BRISTOL,RAYNHAM,1
140,41.91975,-70.8749,PLYMOUTH,MIDDLEBOROUGH,1
141,41.92065,-71.0908,BRISTOL,TAUNTON,1
142,41.9211,-71.09665,BRISTOL,TAUNTON,1
143,41.9219,-71.0907,BRISTOL,TAUNTON,1
144,41.92195,-71.1016,BRISTOL,TAUNTON,1
145,41.923,-71.09055000000001,BRISTOL,TAUNTON,1
146,41.924800000000005,-71.15975,BRISTOL,TAUNTON,1
147,41.92615,-70.80725000000001,PLYMOUTH,CARVER,1
148,41.9262,-71.03055,BRISTOL,RAYNHAM,1
149,41.92935,-70.8818,PLYMOUTH,MIDDLEBOROUGH,1
150,41.931450000000005,-71.08495,BRISTOL,RAYNHAM,1
151,41.932050000000004,-70.81035,PLYMOUTH,CARVER,1
152,41.93265,-70.6581,PLYMOUTH,PLYMOUTH,1
153,41.93305,-70.9933,PLYMOUTH,BRIDGEWATER,1
154,41.934400000000004,-71.10325,BRISTOL,TAUNTON,1
155,41.934850000000004,-70.65285,PLYMOUTH,PLYMOUTH,1
156,41.93525,-71.05135,BRISTOL,RAYNHAM,1
157,41.9358,-70.5986,PLYMOUTH,PLYMOUTH,1
158,41.93625,-70.98915000000001,PLYMOUTH,BRIDGEWATER,1
159,41.9371,-70.59515,PLYMOUTH,PLYMOUTH,1
160,41.9375,-70.60395,PLYMOUTH,PLYMOUTH,1
161,41.9376,-70.61815,PLYMOUTH,PLYMOUTH,1
162,41.93845,-71.07985000000001,BRISTOL,RAYNHAM,1
163,41.938700000000004,-70.66665,PLYMOUTH,PLYMOUTH,1
164,41.938700000000004,-70.657,PLYMOUTH,PLYMOUTH,1
165,41.93965,-70.66835,PLYMOUTH,PLYMOUTH,1
166,41.94025,-70.6195,PLYMOUTH,PLYMOUTH,1
167,41.941050000000004,-70.6609,PLYMOUTH,PLYMOUTH,1
168,41.943850000000005,-71.02125000000001,BRISTOL,RAYNHAM,1
169,41.94565,-70.66120000000001,PLYMOUTH,PLYMOUTH,1
170,41.94715,-70.64200000000001,PLYMOUTH,PLYMOUTH,1
171,41.94885,-71.02375,BRISTOL,RAYNHAM,2
172,41.9503,-70.67915,PLYMOUTH,PLYMOUTH,1
173,41.95085,-70.68845,PLYMOUTH,PLYMOUTH,1
174,41.951150000000005,-70.6887,PLYMOUTH,PLYMOUTH,1
175,41.95215,-70.67145000000001,PLYMOUTH,PLYMOUTH,1
176,41.9523,-71.00445,PLYMOUTH,BRIDGEWATER,1
177,41.9528,-71.03070000000001,PLYMOUTH,BRIDGEWATER,1
178,41.9533,-70.66445,PLYMOUTH,PLYMOUTH,1
179,41.953500000000005,-70.68395000000001,PLYMOUTH,PLYMOUTH,1
180,41.9536,-70.66655,PLYMOUTH,PLYMOUTH,1
181,41.95405,-70.683,PLYMOUTH,PLYMOUTH,1
182,41.9545,-70.68235,PLYMOUTH,PLYMOUTH,1
183,41.95505,-70.68090000000001,PLYMOUTH,PLYMOUTH,1
184,41.9558,-71.0699,BRISTOL,RAYNHAM,1
185,41.9561,-70.6785,PLYMOUTH,PLYMOUTH,1
186,41.95715,-70.6853,PLYMOUTH,PLYMOUTH,1
187,41.9572,-71.06960000000001,BRISTOL,RAYNHAM,1
188,41.9574,-71.06955,BRISTOL,RAYNHAM,1
189,41.957550000000005,-70.66605,PLYMOUTH,PLYMOUTH,1
190,41.95815,-71.06920000000001,BRISTOL,RAYNHAM,1
191,41.96015,-70.67025000000001,PLYMOUTH,PLYMOUTH,1
192,41.96025,-70.67015,PLYMOUTH,PLYMOUTH,1
193,41.96045,-71.0809,BRISTOL,TAUNTON,1
194,41.96155,-71.19855,BRISTOL,NORTON,1
195,41.962650000000004,-70.6923,PLYMOUTH,PLYMOUTH,1
196,41.96435,-71.1534,BRISTOL,NORTON,1
