LAT,LON,CNTY_NAME,CITY_TOWN_NAME,num
41.88852031,-71.12298873,BRISTOL,TAUNTON,1
41.88897197,-70.85697435,PLYMOUTH,MIDDLEBOROUGH,1
41.8890583,-71.12034658,BRISTOL,TAUNTON,1
41.88925895,-71.08497759,BRISTOL,TAUNTON,1
41.88945283,-71.11837208,BRISTOL,TAUNTON,1
41.88974094,-70.95659015,PLYMOUTH,LAKEVILLE,1
41.88987046,-70.92780032,PLYMOUTH,MIDDLEBOROUGH,1
41.89072712,-71.05495273,BRISTOL,TAUNTON,1
41.89079338,-70.90517868,PLYMOUTH,MIDDLEBOROUGH,1
41.89146205,-71.11080769,BRISTOL,TAUNTON,2
41.89174814,-71.0714216,BRISTOL,TAUNTON,1
41.89222395,-71.1051644,BRISTOL,TAUNTON,1
41.89236046,-70.90919001,PLYMOUTH,MIDDLEBOROUGH,1
41.89281274,-70.90856389,PLYMOUTH,MIDDLEBOROUGH,1
41.89295207,-71.11163113,BRISTOL,TAUNTON,1
41.8930316,-70.91627001,PLYMOUTH,MIDDLEBOROUGH,1
41.89316831,-71.1029702,BRISTOL,TAUNTON,1
41.89380289,-71.10079227,BRISTOL,TAUNTON,1
41.89480723,-70.91719592,PLYMOUTH,MIDDLEBOROUGH,1
41.8950915,-71.07523548,BRISTOL,TAUNTON,1
41.89541272,-71.09530462,BRISTOL,TAUNTON,1
41.89553307,-71.10009753,BRISTOL,TAUNTON,1
41.8955333,-70.94627117,PLYMOUTH,MIDDLEBOROUGH,1
41.89557205,-71.07611008,BRISTOL,TAUNTON,1
41.89572359,-71.0952056,BRISTOL,TAUNTON,1
41.89583286,-71.03318991,BRISTOL,RAYNHAM,1
41.89590083,-70.91864338,PLYMOUTH,MIDDLEBOROUGH,1
41.89593533,-70.91771944,PLYMOUTH,MIDDLEBOROUGH,1
41.89602258,-70.9471477,PLYMOUTH,MIDDLEBOROUGH,1
41.89626351,-71.09135145,BRISTOL,TAUNTON,1
41.89643037,-70.95458302,PLYMOUTH,MIDDLEBOROUGH,1
41.89665301,-70.9167605,PLYMOUTH,MIDDLEBOROUGH,1
41.89680788,-70.90414263,PLYMOUTH,MIDDLEBOROUGH,2
41.89710799,-70.95816063,PLYMOUTH,MIDDLEBOROUGH,1
41.89771342,-70.95012037,PLYMOUTH,MIDDLEBOROUGH,2
41.89774056,-70.95829403,PLYMOUTH,MIDDLEBOROUGH,1
41.89798512,-71.09632465,BRISTOL,TAUNTON,1
41.8981345,-71.09181095,BRISTOL,TAUNTON,2
41.89813697,-70.90815947,PLYMOUTH,MIDDLEBOROUGH,1
41.89907646,-71.11512192,BRISTOL,TAUNTON,1
41.89944023,-71.03649626,BRISTOL,RAYNHAM,1
41.89951083,-71.06940662,BRISTOL,TAUNTON,1
41.90050022,-71.0315195,BRISTOL,RAYNHAM,1
41.90097714,-71.09247951,BRISTOL,TAUNTON,1
41.9012492,-70.97246007,PLYMOUTH,LAKEVILLE,1
41.90147277,-71.07520882,BRISTOL,TAUNTON,1
41.9015186,-71.09367555,BRISTOL,TAUNTON,1
41.90152433,-71.09363621,BRISTOL,TAUNTON,1
41.9016713,-71.09262739,BRISTOL,TAUNTON,1
41.90170995,-70.98163368,PLYMOUTH,LAKEVILLE,1
41.90171796,-70.97993498,PLYMOUTH,LAKEVILLE,1
41.90174084,-71.09189429,BRISTOL,TAUNTON,1
41.90174177,-71.09190856,BRISTOL,TAUNTON,1
41.90221662,-70.97188013,PLYMOUTH,MIDDLEBOROUGH,1
41.90230276,-70.9704907,PLYMOUTH,MIDDLEBOROUGH,1
41.90236644,-70.9594074,PLYMOUTH,MIDDLEBOROUGH,2
41.90263419,-70.95843689,PLYMOUTH,MIDDLEBOROUGH,1
41.9026808,-70.96463897,PLYMOUTH,MIDDLEBOROUGH,1
41.90274422,-71.09934252,BRISTOL,TAUNTON,1
41.90278504,-70.96479763,PLYMOUTH,MIDDLEBOROUGH,1
41.90282193,-70.96362133,PLYMOUTH,MIDDLEBOROUGH,1
41.90291149,-70.99294235,BRISTOL,TAUNTON,1
41.9029565,-71.09882391,BRISTOL,TAUNTON,1
41.90302359,-71.09869499,BRISTOL,TAUNTON,1
41.90303056,-70.63619706,PLYMOUTH,PLYMOUTH,1
41.90303563,-70.96294749,PLYMOUTH,MIDDLEBOROUGH,1
41.90314064,-71.09672755,BRISTOL,TAUNTON,1
41.90321594,-70.95864741,PLYMOUTH,MIDDLEBOROUGH,1
41.90323269,-70.95882291,PLYMOUTH,MIDDLEBOROUGH,1
41.90323269,-70.9588229,PLYMOUTH,MIDDLEBOROUGH,6
41.90327602,-70.93934932,PLYMOUTH,MIDDLEBOROUGH,1
41.90338874,-71.03603381,BRISTOL,RAYNHAM,1
41.90350117,-70.99830793,BRISTOL,RAYNHAM,1
41.90352548,-71.08329942,BRISTOL,TAUNTON,1
41.90359314,-71.09215292,BRISTOL,TAUNTON,1
41.9036126,-71.0970803,BRISTOL,TAUNTON,1
41.90370522,-70.93719047,PLYMOUTH,MIDDLEBOROUGH,1
41.90373812,-71.00623421,BRISTOL,RAYNHAM,1
41.90374386,-71.08229116,BRISTOL,TAUNTON,1
41.90383896,-71.08098759,BRISTOL,TAUNTON,1
41.90388941,-71.08133443,BRISTOL,TAUNTON,1
41.90408015,-71.01089268,BRISTOL,RAYNHAM,2
41.90412292,-71.0115515,BRISTOL,RAYNHAM,1
41.90415104,-71.0119684,BRISTOL,RAYNHAM,1
41.90418493,-71.07607413,BRISTOL,TAUNTON,3
41.90439576,-71.01535338,BRISTOL,RAYNHAM,1
41.90453305,-71.10373385,BRISTOL,TAUNTON,1
41.90456132,-71.095631,BRISTOL,TAUNTON,1
41.90456376,-71.09562808,BRISTOL,TAUNTON,1
41.90459697,-71.018072,BRISTOL,RAYNHAM,1
41.90477257,-71.1011265,BRISTOL,TAUNTON,1
41.90518655,-71.0640857,BRISTOL,RAYNHAM,2
41.90523409,-71.02696397,BRISTOL,RAYNHAM,1
41.90527541,-71.07289966,BRISTOL,TAUNTON,1
41.90541778,-71.02950658,BRISTOL,RAYNHAM,1
41.90558498,-71.05436953,BRISTOL,RAYNHAM,1
41.90572726,-71.05312228,BRISTOL,RAYNHAM,1
41.90573325,-71.09324638,BRISTOL,TAUNTON,1
41.90576988,-71.035515,BRISTOL,RAYNHAM,2
41.9058028,-71.06752572,BRISTOL,TAUNTON,1
41.90595766,-71.06874701,BRISTOL,TAUNTON,1
41.90620681,-70.91339154,PLYMOUTH,MIDDLEBOROUGH,1
41.9062203,-71.04896935,BRISTOL,RAYNHAM,2
41.90633077,-71.04228039,BRISTOL,RAYNHAM,4
41.90635325,-71.04245144,BRISTOL,RAYNHAM,2
41.90639001,-71.04242855,BRISTOL,RAYNHAM,1
41.90640861,-71.0425593,BRISTOL,RAYNHAM,1
41.90655917,-71.04539041,BRISTOL,RAYNHAM,1
41.90688069,-70.88503891,PLYMOUTH,MIDDLEBOROUGH,2
41.90757888,-70.91454908,PLYMOUTH,MIDDLEBOROUGH,1
41.90771803,-70.91239412,PLYMOUTH,MIDDLEBOROUGH,2
