,CITY_TOWN_NAME,CRASH_HOUR,DRVR_CNTRB_CIRC_CL,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON,DRVR_DISTRACTED_CL,CNTY_NAME,SPEED_LIMIT,SURFACE_TP,STRUCT_CND
3949,TAUNTON,9,Diregarded traffic markings,Four-way intersection,Traffic control signal,41.902507899999996,-71.09989877," D1: Other activity, electronic device",BRISTOL,20.0,Bituminous concrete road,Fair
3950,WESTON,10,Tailgating,Off-ramp,No controls,42.34119055,-71.26459366," D1: Other activity, electronic device",MIDDLESEX,35.0,Bituminous concrete road,Good
3951,FRAMINGHAM,18,Tailgating,Not at junction,No controls,42.31455122,-71.39632490000001," D1: Other activity, electronic device",MIDDLESEX,65.0,Bituminous concrete road,Fair
3952,EASTON,9,Diregarded traffic markings,Four-way intersection,Traffic control signal,42.06673247,-71.08725613, D1: Talking on hand-held electronic device,BRISTOL,30.0,Bituminous concrete road,Fair
3953,RAYNHAM,14,Distracted/Inattention,Four-way intersection,Traffic control signal,41.90589387,-71.03552527," D1: Other activity (searching, eating, personal hygiene, etc.)",BRISTOL,40.0,Bituminous concrete road,Good
3954,WEYMOUTH,22,Drowsey Driving,Not at junction,No controls,42.21799809,-70.94670135," D1: Other activity (searching, eating, personal hygiene, etc.)",NORFOLK,30.0,Bituminous concrete road,Good
3955,HAVERHILL,21,Other causes,T-intersection,No controls,42.77782409,-71.08455235," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,35.0,Bituminous concrete road,Good
3956,PEABODY,9,Distracted/Inattention,Not at junction,No controls,42.52562797,-70.97191240000001," D1: Other activity, electronic device",ESSEX,55.0,Bituminous concrete road,Fair
3957,PEABODY,9,Tailgating,Not at junction,No controls,42.53992818,-70.93820443, D1: External distraction (outside the vehicle),ESSEX,50.0,Bituminous concrete road,Fair
3958,DEDHAM,14,Diregarded traffic markings,Not at junction,No controls,42.2275,-71.18089, D1: External distraction (outside the vehicle),NORFOLK,55.0,Bituminous concrete road,Fair
3959,GLOUCESTER,18,Distracted/Inattention,Not at junction,No controls,42.5920529,-70.69129946," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,35.0,Bituminous concrete road,Good
3960,GLOUCESTER,6,Distracted/Inattention,Not at junction,No controls,42.62945574,-70.63770734," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,25.0,Bituminous concrete road,Good
3961,FOXBOROUGH,7,Diregarded traffic markings,T-intersection,Traffic control signal,42.1022794,-71.25916134, D1: External distraction (outside the vehicle),NORFOLK,30.0,Surface-treated road,Good
3962,HAVERHILL,11,Distracted/Inattention,Not at junction,No controls,42.7794588,-71.08077016, D1: Talking on hand-held electronic device,ESSEX,35.0,Bituminous concrete road,Good
3963,REVERE,15,Reckless Driving,T-intersection,No controls,42.41002139,-70.99935477," D1: Other activity (searching, eating, personal hygiene, etc.)",SUFFOLK,30.0,Bituminous concrete road,Fair
3964,MEDFORD,13,Distracted/Inattention,T-intersection,Stop signs,42.4093534,-71.10970537," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,25.0,Surface-treated road,Fair
3965,NEWTON,3,Reckless Driving,Y-intersection,No controls,42.36058061,-71.22297618," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,25.0,Bituminous concrete road,Good
3966,NEWTON,15,Diregarded traffic markings,T-intersection,Stop signs,42.35986037,-71.21673402, D1: Passenger,MIDDLESEX,25.0,Surface-treated road,Fair
3967,LYNN,2,Distracted/Inattention,Not at junction,No controls,42.47466768,-70.95812056," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,30.0,Bituminous concrete road,Good
3968,WESTON,18,Distracted/Inattention,Not at junction,No controls,42.3304386,-71.30258404, D1: Manually operating an electronic device,MIDDLESEX,20.0,Bituminous concrete road,Good
3969,LOWELL,16,Tailgating,Not at junction,No controls,42.64221594,-71.29512390000001, D1: External distraction (outside the vehicle),MIDDLESEX,30.0,Portland cement concrete road,Good
3970,LAWRENCE,5,Distracted/Inattention,Four-way intersection,Traffic control signal,42.70305851,-71.16673467," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,30.0,Bituminous concrete road,Good
3971,BOSTON,19,Tailgating,Not at junction,No controls,42.35648974,-71.11963742, D1: Manually operating an electronic device,SUFFOLK,55.0,Bituminous concrete road,Good
3972,MALDEN,15,Distracted/Inattention,Not at junction,No controls,42.42225904,-71.05998088," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,25.0,Bituminous concrete road,Good
3973,LAWRENCE,8,Tailgating,Y-intersection,Traffic control signal,42.70753364,-71.14659243," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,30.0,Bituminous concrete road,Fair
